"name","description","neighborhood_overview","host_name","host_location","host_about","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_group_cleansed","room_type","accommodates","bathrooms","bedrooms","beds","amenities","price","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_30","availability_60","availability_90","availability_365","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","review_scores_rating","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","calculated_host_listings_count_shared_rooms","reviews_per_month","n_host_verifications"
"Artists studio","Artists studio. Semiprivate stay. I may stop by and drop/pick up my works. Will try not to work there during your stay unless an emergency. There are my works/materials. No dressers or closets. No guests or parties. No smoking. No pets. Subway a few blocks away. 10 -15 minutes walk. Cafes, groceries and restaurants nearby.<br /><br /><b>Other things to note</b><br />No photos in the studio. No smoking inside the studio or building.","It is a safe  multicultural quiet neighborhood.","Irina","New York, New York, United States","We are artist/scientist couple from Brooklyn/New Hope, 
","1.0","1.0","True","1.0","1.0","True","True","Brooklyn","Private room","1","1.0","","1.0","[""Kitchen"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Washer"", ""Dedicated workspace"", ""Elevator"", ""Wifi"", ""Host greets you"", ""Free street parking"", ""Heating"", ""Dryer"", ""Smoke alarm"", ""Air conditioning"", ""Essentials"", ""Hot water""]","59.0","30","1125","30.0","30.0","1125.0","1125.0","30.0","1125.0","True","1","1","1","219","15","0","0","4.53","4.93","4.67","4.73","4.6","4.6","False","1","0","1","0","0.5","6"
"Brooklyn Garden Apartment","Graden Apartment in a Brownstone located in Clinton Hill downtown Brooklyn<br /><br /><b>The space</b><br />Couples or friends","","Julio","US","","","","True","2.0","2.0","True","True","Brooklyn","Entire home/apt","2","1.0","1.0","1.0","[""Hangers"", ""Dishwasher"", ""Kitchen"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""TV"", ""Washer"", ""Wifi"", ""Host greets you"", ""Heating"", ""Private entrance"", ""Dryer"", ""Smoke alarm"", ""Air conditioning""]","240.0","30","1125","30.0","30.0","1125.0","1125.0","30.0","1125.0","True","0","0","0","0","11","0","0","4.9","5.0","5.0","4.9","4.9","4.9","False","2","2","0","0","0.29","2"
"Brownstone in Clinton Hill Brooklyn","3 floors, 3 bedrooms, office, 3 1/2 bathrooms  brownstone with backyard. This home as been featured in New York Magazine, The Brownstoner Magazine, Apartment Therapy and HGTV","","Julio","US","","","","True","2.0","2.0","True","True","Brooklyn","Entire home/apt","5","3.5","3.0","5.0","[""Backyard"", ""Microwave"", ""Hangers"", ""Long term stays allowed"", ""Washer"", ""Wifi"", ""Heating"", ""Private entrance"", ""Host greets you"", ""Dishes and silverware"", ""Dryer"", ""Air conditioning"", ""Essentials"", ""Hot water"", ""Kitchen"", ""Cooking basics"", ""Dedicated workspace"", ""Iron"", ""Refrigerator"", ""Bed linens"", ""Coffee maker""]","701.0","30","60","30.0","30.0","1125.0","1125.0","30.0","1125.0","True","0","0","0","0","4","0","0","5.0","5.0","5.0","5.0","5.0","5.0","True","2","2","0","0","0.1","2"
"Large bright artistic apartment","A light, bright, artistic apartment located in the heart of Bushwick. 3 blocks from the Morgan L train. 20 minutes to Union Square. Perfect for couples or solo travelers. Vibrant neighborhood full of art galleries, restaurants, bars, theatres and interesting people.","","Ruthie","New York, New York, United States","British girl living in NYC - love the bohemian, artistic life and travel","","","True","1.0","1.0","True","True","Brooklyn","Entire home/apt","2","1.0","1.0","1.0","[""Hangers"", ""Kitchen"", ""Long term stays allowed"", ""Iron"", ""Dedicated workspace"", ""Wifi"", ""Heating"", ""Shampoo"", ""Host greets you"", ""Smoke alarm"", ""Air conditioning"", ""Essentials""]","80.0","30","30","30.0","30.0","30.0","30.0","30.0","30.0","True","0","0","0","0","5","0","0","5.0","5.0","5.0","5.0","5.0","5.0","False","1","1","0","0","0.09","5"
"One Bedroom-One Bathroom in Greenpoint, Brooklyn.","Entire One bedroom, one bathroom apartment with a cat, in lovely Greenpoint, Brooklyn. The apartment location borders two ultra trendy neighborhoods, Williamsburg and Greenpoint, and is one easy quick stop into Manhattan from the Bedford L Train. Blocks away from tons of restaurants, bars, McCarren park, and shopping. Also a 5 minute walk to the G train at Nassau.<br /><br /><b>The space</b><br />The G Train Nassau station is an easy 5 minute walk. Alternatively, the L Train Graham station is a quick 10 minute walk under the BQE, and the Bedford L train station is a 15 minute walk through beautiful Mccarren Park. Bedford is one stop away from Manhattan and in recent years has become a very trendy tourist destination. There are so many bars, restaurants, nightclubs and shopping options within walking distance. Recently opened has been Whole Foods, Apple, Levi's, Starbucks, and Chipotle. I have been in this neighborhood for 11 years. It's safe, clean, and there's so much to do. It's also","","Matt","New York, New York, United States","Events and Production professional from Brooklyn, NY.","","","True","1.0","1.0","True","True","Brooklyn","Entire home/apt","3","1.0","1.0","1.0","[""Kitchen"", ""Long term stays allowed"", ""TV"", ""Dedicated workspace"", ""Wifi"", ""Air conditioning"", ""Essentials""]","125.0","30","1125","30.0","30.0","1125.0","1125.0","30.0","1125.0","False","0","0","0","0","8","0","0","4.86","4.71","5.0","5.0","4.83","4.83","False","1","1","0","0","0.14","8"
"Moore St. Bushwick Loft","This UNBELIEVABLE open concept Brooklyn artist's loft has two sleeping lofts, each with a private ladder and office area. The sofa also folds out into a bed, so the space can sleep 6 comfortably.<br /><br /><b>The space</b><br />Our home is across the street from the world famous Roberta's in the most desirable part of Bushwick. The L train is around the corner, so you can travel around Brooklyn and Manhattan very easily, but with so much to do in the neighborhood, you don't have to leave Bushwick if you don't want to!<br /><br /><b>Guest access</b><br />Guests will have access to most all areas of our home. We just ask that you use common sense and be respectful of our personal belongings, locked storage, and private areas. The freight elevator you see pictured is not operational. That's a private room that is not accessible.<br /><br /><b>Other things to note</b><br />Living in an open-concept loft across from Roberta's is a blessing and a curse (mostly a blessing). On the one hand, ","This hard-working, unfiltered neighborhood tells the New York story though rich immigrant history, art, and bodgeas. All kinds of creative types have been filing into Bushwick, and a considerable amount of trendiness is trickling in from its ultra-hip neighbor to the west, Williamsburg. New bars, bodegas, and gallery spaces continue to flourish, fueled by the intrepid movers and shakers that are pouring into Bushwick’s converted loft spaces. Although Bushwick is busy reinventing itself, a somewhat grungy heart still beats beneath its remodeled exterior.","Halliday","US","","","","True","1.0","1.0","True","True","Brooklyn","Entire home/apt","6","1.0","2.0","3.0","[""Kitchen"", ""Long term stays allowed"", ""Iron"", ""Cooking basics"", ""Dedicated workspace"", ""Oven"", ""Hair dryer"", ""Stove"", ""Bed linens"", ""Wifi"", ""Heating"", ""Shampoo"", ""Air conditioning"", ""Essentials"", ""Hot water""]","184.0","30","9999","30.0","30.0","9999.0","9999.0","30.0","9999.0","True","0","0","0","0","39","0","0","4.21","4.0","4.0","4.13","4.75","4.36","False","1","1","0","0","0.76","8"
"Beautiful studio in midtown Manhattan","Furnished studio with private bath and fully equipped  kitchen   in midtown. 3 blocks from Grand Central Station.  24 Hour Reception and Concierge Desk. Doorman.  Laundry Room. All utilities, cable, wifi, local calls, complimentary weekly linen service, toiletries, in-room coffee and tea supplies and the use of our gym and  business center included in price. Housekeeping service is available for extra  fee. Supermarket across street. Approx 11% NYC taxes  to be paid directly to host.<br /><br /><b>The space</b><br />Private apartment in safe midtown east side neighborhood. Onsite host available 24 hours.  This large studio apartment has one queen bed, or 1 king, or 2 double beds,  night stands, dresser, love seat, desk, dining table and chairs,  phone, TV, safe deposit box, iron and ironing board and large closets. Kitchenette with stove/oven combo, refrigerator, microwave, toaster, coffee maker with free coffee and tea supplies, cooking utensils, dinnerware, silverware. Full bath with","We're located in a safe and quiet residential neighborhood on Manhattan's East Side, yet we're within walking distance of Broadway theaters, Grand Central Station, the United Nations, the Empire State Building and the city’s many museums.","Stanley","New York, New York, United States","Reservations Manager, Murray Hill East Suites","0.9","0.79","True","50.0","50.0","True","True","Manhattan","Entire home/apt","2","1.0","","1.0","[""Extra pillows and blankets"", ""Hangers"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Washer"", ""Building staff"", ""Wifi"", ""Heating"", ""Private entrance"", ""Shampoo"", ""Dryer"", ""Air conditioning"", ""Essentials"", ""Hot water"", ""Kitchen"", ""Cable TV"", ""Dedicated workspace"", ""Hair dryer"", ""TV with standard cable"", ""Smoke alarm"", ""Iron"", ""Elevator"", ""Bed linens"", ""Gym""]","125.0","30","365","30.0","30.0","1125.0","1125.0","30.0","1125.0","True","16","46","76","351","3","2","0","4.33","4.0","4.67","4.33","4.67","4.0","True","83","73","0","0","2.09","4"
"Huge Brooklyn Brownstone Living, Close to it all.","Vaccinated Guests Only Until Further Notice!<br /><br /><br />Great, Brooklyn, Brownstown. Large and bright the rooms are beautiful, unique and cozy. This is a perfect retreat after a busy day in the city. Only 2 blocks from train and surrounded by amazing restaurants, cafes and boutiques<br /><br /><b>The space</b><br />Work groups, women retreat, think tank, family get away, host a dinner or brunch, study space for deep work.<br /><br /><b>Guest access</b><br />The entire house.<br /><br /><b>Other things to note</b><br />The brownstone is in the bustling community of Clinton Hill. There is no off street parking but llenty on street parking all around. There are also apps where you can reserve parking from private and public owners.","The neighborhood is friendly and lively. There are plenty of great restaurants, coffee shops, bars, lounges and specialty shops. You should definitely do your research and wonder around. It's a great area to be in. This is a busy street that the house is on but the evenings are fairly always quiet.","Kimberly","New York, New York, United States","Hello,
I am an adventurous soul who enjoys the simple and extravagant things in life. I am a real estate agent along with a business consultant for artist. I love collecting pottery and furniture back at my 124 year old house in Ohio.  If you like a calming environment after time in the big city I am sure that my space will be just the place.","1.0","0.92","True","7.0","7.0","True","True","Brooklyn","Private room","4","1.5","2.0","4.0","[""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""TV"", ""Indoor fireplace"", ""Lock on bedroom door"", ""Microwave"", ""First aid kit"", ""Hangers"", ""Lockbox"", ""Long term stays allowed"", ""Washer"", ""Wifi"", ""Heating"", ""Shampoo"", ""Dryer"", ""Dishes and silverware"", ""Private entrance"", ""Air conditioning"", ""Free street parking"", ""Essentials"", ""Hot water"", ""Kitchen"", ""Fire extinguisher"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Stove"", ""Smoke alarm"", ""Dishwasher"", ""Iron"", ""Pool"", ""Oven"", ""Paid parking off premises"", ""Refrigerator"", ""Bed linens"", ""Coffee maker""]","98.0","4","1125","4.0","4.0","1125.0","1125.0","4.0","1125.0","True","0","0","0","0","1","0","0","4.0","5.0","5.0","5.0","5.0","5.0","False","3","0","3","0","0.02","6"
"Room with Unbeatable Manhattan Skyline View","Greenpoint room with unbeatable view of the Manhattan skyline. The room is in a quiet, spacious apartment complete with washer/dryer, full bathroom, TV and internet. Less than 1 block from G stop and McCarren Park; short walk to the Bedord L stop. Neighborhood is full of amazing Brooklyn restaurants, flea markets and bars. Perfect budget friendly option for travelers!<br /><br /><b>The space</b><br />Beautiful apartment in Greenpoint, Brooklyn. The building only has one other tenant, so it is a peaceful and safe building. It is highly accessible when traveling to Manhattan (20 minutes to Grand Central and Union Square), is close to City Bike rentals, groceries, bars, restaurants and shopping. Everything a traveler needs!","","Kaila","Elon, North Carolina, United States","I'm a professional working in Manhattan. I've been living in NYC for 4 years and moved to Brooklyn 1 year ago. I'm excited to start hosting again!","","","True","1.0","1.0","True","True","Brooklyn","Private room","2","1.0","1.0","1.0","[""Hangers"", ""Long term stays allowed"", ""Iron"", ""TV"", ""Carbon monoxide alarm"", ""Washer"", ""Lock on bedroom door"", ""Hair dryer"", ""Dedicated workspace"", ""Wifi"", ""Heating"", ""Shampoo"", ""Dryer"", ""Smoke alarm"", ""Air conditioning"", ""Essentials""]","55.0","30","1125","30.0","30.0","1125.0","1125.0","30.0","1125.0","True","0","0","0","0","3","0","0","3.0","3.0","3.0","3.0","3.0","3.0","False","1","0","1","0","0.06","4"
"Park, Subway & All Conveniences","Amazing location! Fully furnished modern, large one bedroom apartment located in front of a park, adjacent to all commercial services and one minute to Nassau Ave G subway.<br /><br />This is an amazing location between the trendy neighborhoods of Northside Williamsburg and Greenpoint with lots of great restaurants and bars like Five Leaves, Spritzenhaus and boutiques in the immediate vicinity. <br /><br />Private entrance has living room, bedroom, full kitchen with stove/refrigerator, bathroom and washer/dryer.<br /><br /><b>The space</b><br />The space has been completely renovated and has good sunlight. Furniture is all new and modern. Nice wooden fixtures, shelving and lighting give the apartment a nice design touch.<br /><br /><b>Guest access</b><br />Full use of the apartment is available for access.","Williamsburg Greenpoint is one of the most vibrant neighborhoods in Brooklyn with many artist run galleries, a center of emerging design, fashion, nightlife and architecture. <br /><br />With NYC skyline views, international cuisine and culture emanating from every nook and cranny, it offers peaceful but convenient respite from Manhattan, while being a few short subway stops away.<br /><br />Located directly in front of a park, this location is particularly beautiful any time of the year, facing full trees and possessing a beautiful park view. <br /><br />With an older Polish population and a younger hipster influence it has a neat influence of old and new, while being a very safe neighborhood. <br /><br />Northside Brooklyn (located directly on the other side of the park) has Whole Foods, Brooklyn's first Apple Store, J-Crew and other creature comforts not mentioning a wealth of excellent restaurant options and coffee houses.","Nicole","Brooklyn, New York, United States","I am Nicole (Meredith), a local Greenpointer of 16 years, mom to two older children. I am well traveled having lived over ten years of my life in Canada, Europe & Asia and am multilingual. I consider myself friendly, kind and respectful and enjoy meeting others.","","","True","1.0","1.0","True","True","Brooklyn","Entire home/apt","2","1.0","1.0","1.0","[""Hangers"", ""Breakfast"", ""Kitchen"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Patio or balcony"", ""Washer"", ""Dedicated workspace"", ""Hair dryer"", ""Backyard"", ""Wifi"", ""Outdoor furniture"", ""Private entrance"", ""Heating"", ""Shampoo"", ""Dryer"", ""Smoke alarm"", ""Air conditioning"", ""Essentials""]","185.0","30","90","30.0","30.0","90.0","90.0","30.0","90.0","True","0","2","32","122","2","0","0","5.0","5.0","5.0","5.0","5.0","5.0","False","1","1","0","0","0.04","8"
